anio,semana,nombreestacion,temperatura_promedio
2008,23,PAJARITO - AUT,21.348366013071896
2008,23,VILLANUEVA,18.29205298013245
2008,24,PAJARITO - AUT,21.20848484848485
2008,24,VILLANUEVA,18.022222222222222
2008,25,PAJARITO - AUT,21.51341463414634
2008,25,VILLANUEVA,18.414024390243902
2008,26,PAJARITO - AUT,21.15679012345679
2008,26,VILLANUEVA,17.995151515151512
2008,27,PAJARITO - AUT,20.787654320987652
2008,27,VILLANUEVA,17.877914110429447
2008,28,PAJARITO - AUT,20.796153846153846
2008,28,VILLANUEVA,17.80807453416149
2008,29,PAJARITO - AUT,20.181481481481484
2008,29,VILLANUEVA,17.330188679245282
2008,30,PAJARITO - AUT,22.642307692307693
2008,30,VILLANUEVA,19.197297297297297
2008,31,PAJARITO - AUT,21.48616352201258
2008,31,VILLANUEVA,18.463291139240503
2008,32,PAJARITO - AUT,22.392567567567568
2008,32,VILLANUEVA,19.10074074074074
2008,33,PAJARITO - AUT,20.021379310344827
2008,33,VILLANUEVA,17.163333333333334
2008,34,PAJARITO - AUT,19.91464968152866
2008,34,VILLANUEVA,16.990384615384617
2008,35,PAJARITO - AUT,20.20186335403727
2008,35,VILLANUEVA,17.29403973509934
2008,36,PAJARITO - AUT,20.901863354037268
2008,36,VILLANUEVA,17.79032258064516
2008,37,PAJARITO - AUT,22.463522012578615
2008,37,VILLANUEVA,19.335668789808917
2008,38,PAJARITO - AUT,20.7583850931677
2008,38,VILLANUEVA,17.68527607361963
2008,39,PAJARITO - AUT,20.442592592592593
2008,39,VILLANUEVA,17.56624203821656
2008,40,PAJARITO - AUT,20.664670658682635
2008,40,VILLANUEVA,17.579640718562874
2008,41,PAJARITO - AUT,19.879754601226995
2008,41,VILLANUEVA,16.994374999999998
2008,42,PAJARITO - AUT,20.442500000000003
2008,42,VILLANUEVA,17.27358490566038
2008,43,PAJARITO - AUT,21.94121212121212
2008,44,PAJARITO - AUT,21.028048780487804
2008,45,PAJARITO - AUT,20.59457831325301
2008,46,PAJARITO - AUT,20.505357142857143
2008,47,PAJARITO - AUT,20.662275449101795
2008,48,PAJARITO - AUT,19.923809523809524
2008,49,PAJARITO - AUT,20.724698795180725
2008,50,PAJARITO - AUT,22.014074074074074
2008,51,PAJARITO - AUT,19.64154929577465
2008,51,VILLANUEVA,15.730909090909092
2008,52,PAJARITO - AUT,21.590853658536584
2008,52,VILLANUEVA,18.033333333333335
2009,1,PAJARITO - AUT,22.17005988023952
2009,1,VILLANUEVA,18.95421686746988
2009,2,PAJARITO - AUT,21.541717791411045
2009,2,VILLANUEVA,18.410759493670888
2009,3,PAJARITO - AUT,20.626896551724137
2009,3,VILLANUEVA,17.591549295774648
2009,4,PAJARITO - AUT,20.48950617283951
2009,4,VILLANUEVA,17.38866666666667
2009,5,PAJARITO - AUT,21.44
2009,5,VILLANUEVA,18.290566037735847
2009,6,PAJARITO - AUT,21.770481927710843
2009,6,VILLANUEVA,18.494244604316545
2009,7,PAJARITO - AUT,20.720000000000002
2009,7,VILLANUEVA,17.851533742331288
2009,8,PAJARITO - AUT,20.978571428571428
2009,8,VILLANUEVA,17.702836879432624
2009,9,PAJARITO - AUT,20.92919254658385
2009,9,VILLANUEVA,18.0325
2009,10,PAJARITO - AUT,21.14125
2009,10,VILLANUEVA,18.29805194805195
2009,11,PAJARITO - AUT,21.409375
2009,11,VILLANUEVA,18.108496732026143
2009,12,PAJARITO - AUT,20.138323353293412
2009,12,VILLANUEVA,16.91881188118812
2009,13,PAJARITO - AUT,20.606666666666666
2009,13,VILLANUEVA,16.366666666666667
2009,14,PAJARITO - AUT,21.052694610778445
2009,14,VILLANUEVA,18.10421686746988
2009,15,PAJARITO - AUT,21.489880952380954
2009,15,VILLANUEVA,18.57202380952381
2009,16,PAJARITO - AUT,22.33452380952381
2009,16,VILLANUEVA,19.405952380952378
2009,17,PAJARITO - AUT,22.133928571428573
2009,17,VILLANUEVA,19.254761904761907
2009,18,PAJARITO - AUT,21.14107142857143
2009,18,VILLANUEVA,18.304761904761904
2009,19,PAJARITO - AUT,20.866257668711654
2009,19,VILLANUEVA,17.825
2009,20,PAJARITO - AUT,22.03452380952381
2009,20,VILLANUEVA,18.773214285714285
2009,21,PAJARITO - AUT,22.735119047619047
2009,21,VILLANUEVA,19.64047619047619
2009,22,PAJARITO - AUT,22.572619047619046
2009,22,VILLANUEVA,19.380357142857143
2009,23,PAJARITO - AUT,22.713690476190475
2009,23,VILLANUEVA,19.59702380952381
2009,24,PAJARITO - AUT,19.510714285714286
2009,24,VILLANUEVA,18.722619047619048
2009,25,PAJARITO - AUT,19.257142857142856
2009,26,PAJARITO - AUT,18.063690476190477
2009,27,PAJARITO - AUT,18.74702380952381
2009,28,PAJARITO - AUT,19.141358024691357
2009,29,PAJARITO - AUT,20.685714285714283
