anio,mes,tabla_origen,categoria,valor
2021,OCT,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,22879
2021,NOV,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,25866
2021,DIC,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,17813
2021,ENE,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,2881
2021,FEB,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,3169
2021,MAR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,3411
2021,ABR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,3492
2021,MAY,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,3496
2021,JUN,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,4268
2021,JUL,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,5279
2021,AGO,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,4980
2021,SEP,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,4958
2021,OCT,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,4734
2021,NOV,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,4895
2021,DIC,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,4466
2021,ENE,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,2508
2021,FEB,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,2545
2021,MAR,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,3386
2021,ABR,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,3163
2021,MAY,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,2782
2021,JUN,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,3655
2021,JUL,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,4524
2021,AGO,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,5064
2021,SEP,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,5532
2021,OCT,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,5059
2021,NOV,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,5348
2021,DIC,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,3527
2021,ENE,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,769
2021,FEB,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,1206
2021,MAR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,1475
2021,ABR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,1087
2021,MAY,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,1108
2021,JUN,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,1699
2021,JUL,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,2218
2021,AGO,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,2856
2021,SEP,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,3264
2021,OCT,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,3116
2021,NOV,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,3489
2021,DIC,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,2514
2021,ENE,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,985
2021,FEB,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,1412
2021,MAR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,1876
2021,ABR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,1421
2021,MAY,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,1275
2021,JUN,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,1651
2021,JUL,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,1849
2021,AGO,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,2388
2021,SEP,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,3296
2021,OCT,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,3088
2021,NOV,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,3522
2021,DIC,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,2363
2021,ENE,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",2482
2021,FEB,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",2186
2021,MAR,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",2653
2021,ABR,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",2269
2021,MAY,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",2059
2021,JUN,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",1859
2021,JUL,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",1738
2021,AGO,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",1620
2021,SEP,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",2184
2021,OCT,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",1494
