anio,semana,casos_dengue,temperatura_promedio,precipitacion_acumulada,temperatura_lag2,precipitacion_lag2,temperatura_lag4,precipitacion_lag4,casos_dengue_semana_siguiente
2017,48,22,20.248511904761905,31.853,19.21347147349506,104.486,19.52467532467532,51.764,31.0
2017,49,31,20.544477911646588,117.631,20.031569004847448,50.377,19.95096585804133,8.887,18.0
2017,50,18,20.267112204163105,19.587,20.248511904761905,31.853,19.21347147349506,104.486,23.0
2017,51,23,20.67612926136364,0.0,20.544477911646588,117.631,20.031569004847448,50.377,20.0
2017,52,20,19.089713796477493,45.818,20.267112204163105,19.587,20.248511904761905,31.853,18.0
2018,1,18,19.193154761904765,102.942,20.67612926136364,0.0,20.544477911646588,117.631,35.0
2018,2,35,19.02767857142857,119.844,19.089713796477493,45.818,20.267112204163105,19.587,26.0
2018,3,26,19.33571428571428,39.298,19.193154761904765,102.942,20.67612926136364,0.0,26.0
2018,4,26,20.57010535890245,3.5540000000000003,19.02767857142857,119.844,19.089713796477493,45.818,30.0
2018,5,30,20.89712552742616,55.019,19.33571428571428,39.298,19.193154761904765,102.942,20.0
2018,6,20,20.715027239709435,0.202,20.57010535890245,3.5540000000000003,19.02767857142857,119.844,25.0
2018,7,25,21.39940476190476,58.16,20.89712552742616,55.019,19.33571428571428,39.298,21.0
2018,8,21,20.60892857142857,22.154,20.715027239709435,0.202,20.57010535890245,3.5540000000000003,25.0
2018,9,25,21.317857142857143,7.182,21.39940476190476,58.16,20.89712552742616,55.019,23.0
2018,10,23,21.815285714285714,8.573,20.60892857142857,22.154,20.715027239709435,0.202,13.0
2018,11,13,21.319489614901325,12.459,21.317857142857143,7.182,21.39940476190476,58.16,23.0
2018,12,23,19.967559523809523,124.558,21.815285714285714,8.573,20.60892857142857,22.154,20.0
2018,13,20,19.54548581408611,157.524,21.319489614901325,12.459,21.317857142857143,7.182,22.0
2018,14,22,19.19099479612204,76.149,19.967559523809523,124.558,21.815285714285714,8.573,21.0
2018,15,21,19.22521742229826,140.014,19.54548581408611,157.524,21.319489614901325,12.459,21.0
2018,16,21,20.69217992586256,33.08,19.19099479612204,76.149,19.967559523809523,124.558,21.0
2018,17,21,19.98843321226796,110.944,19.22521742229826,140.014,19.54548581408611,157.524,24.0
2018,18,24,19.686904761904763,97.144,20.69217992586256,33.08,19.19099479612204,76.149,19.0
2018,19,19,18.926375075346595,235.891,19.98843321226796,110.944,19.22521742229826,140.014,23.0
2018,20,23,19.373109138865125,174.89100000000002,19.686904761904763,97.144,20.69217992586256,33.08,16.0
2018,21,16,20.285416666666663,90.48,18.926375075346595,235.891,19.98843321226796,110.944,15.0
2018,22,15,20.247916666666665,124.488,19.373109138865125,174.89100000000002,19.686904761904763,97.144,27.0
2018,23,27,21.70208333333333,1.981,20.285416666666663,90.48,18.926375075346595,235.891,23.0
2018,24,23,21.077564513829483,40.981,20.247916666666665,124.488,19.373109138865125,174.89100000000002,21.0
