anio,mes,categoria,proporcion,total_medellin,reclamos_estimados_medellin
2024,OCT,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.017993299792269546,14117,254.0114131674692
2024,NOV,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,0.17161985739631105,11777,2021.1670605563552
2024,NOV,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,0.185043350182439,11777,2179.255535098584
2024,NOV,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,0.18002209352927392,11777,2120.120195494259
2024,NOV,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.11913768285742979,11777,1403.0844910119506
2024,NOV,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.12626786730492418,11777,1487.056673250092
2024,NOV,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,0.06901884644997154,11777,812.8349546413149
2024,NOV,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.06037558999765675,11777,711.0433234024035
2024,NOV,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.040109798145482545,11777,472.3730927593479
2024,NOV,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE CITAS DE CONSULTA,0.030281525123020788,11777,356.62552137381584
2024,NOV,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.01812338901349044,11777,213.43915241187693
2025,ENE,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,0.22010989786038995,13174,2899.7277944127773
2025,ENE,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,0.17231651096734482,13174,2270.0977154838006
2025,ENE,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,0.15640889185255477,13174,2060.5307412655566
2025,ENE,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.10821797477606868,13174,1425.6635996999287
2025,ENE,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.12866513211466823,13174,1695.0344504786394
2025,ENE,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,0.07254925847797233,13174,955.7639311888075
2025,ENE,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.05626334451119817,13174,741.2133005905247
2025,ENE,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0351750094573713,13174,463.3955745914095
2025,ENE,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE CITAS DE CONSULTA,0.027936113052454747,13174,368.03035335303883
2025,ENE,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.02235786692997698,13174,294.54253893551675
2025,FEB,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,0.20477213138513023,13024,2666.952239159936
2025,FEB,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,0.1715898760194469,13024,2234.786545277276
2025,FEB,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,0.16635924056970447,13024,2166.662749179831
2025,FEB,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.11172083953675278,13024,1455.0522141266683
2025,FEB,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.12537055824187407,13024,1632.8261505421679
2025,FEB,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,0.07062016627360045,13024,919.7570455473722
2025,FEB,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.06054756979670351,13024,788.5715490322665
2025,FEB,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.039447160041634274,13024,513.7598123822448
2025,FEB,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE CITAS DE CONSULTA,0.03024414023900183,13024,393.8996824727599
2025,FEB,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.019328317896151463,13024,251.73201227947666
2025,MAR,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,0.2059824422963109,14700,3027.9419017557702
2025,MAR,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,0.1682592720457684,14700,2473.4112990727954
2025,MAR,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,0.16662556717301244,14700,2449.3958374432827
2025,MAR,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.11119057013217597,14700,1634.5013809429868
2025,MAR,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.12522810218978103,14700,1840.853102189781
