anio,mes,categoria,proporcion,total_medellin,reclamos_estimados_medellin,variacion_pct,promedio_movil_3m,z_score,nivel_riesgo
2024,FEB,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0408233080563316,9055,369.6550544500827,1.1013585670971215,367.64161582344366,-1.6457523855021194,bajo
2024,MAR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0435670720012275,9066,394.9790747631286,6.850716636546261,376.754102136672,-1.4415206295528817,bajo
2024,ABR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0451900540476595,12642,571.2926632705119,44.63871626949343,445.3089308279077,-0.019596569571620266,bajo
2024,MAY,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0444932753596085,11462,509.9819221718329,-10.731932167252046,492.08455340182445,-0.5140520374769935,bajo
2024,JUN,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0467306901049645,10009,467.7274772605906,-8.28547896978299,516.3340209009784,-0.8548233436995548,bajo
2024,JUL,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0477020172687497,11816,563.6470360475471,20.507574057599285,513.7854784933235,-0.08125660039520073,bajo
2024,AGO,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0430670202469291,11212,482.8674310085693,-14.331594042510588,504.7473147722357,-0.732723483538448,bajo
2024,SEP,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0407313285331074,12446,506.9421149230552,4.9857750530411415,517.8188606597239,-0.5385673065571268,bajo
2024,OCT,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0385622170723214,14117,544.3828184099614,7.38559736600084,511.3974547805287,-0.236617595469335,bajo
2024,NOV,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0401097981454825,11777,472.3730927593479,-13.227773400516229,507.89934203078815,-0.8173576412144157,bajo
2025,ENE,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0351750094573713,13174,463.3955745914095,-1.9005142980300982,493.38382858690625,-0.8897590323379135,bajo
2025,FEB,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0394471600416342,13024,513.7598123822448,10.868519371434026,483.17615991100075,-0.48358431782118555,bajo
2025,MAR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0416255671730124,14700,611.8958374432826,19.10153785793256,529.6837414723124,0.3078576598875846,medio
2025,ABR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0422913330007614,14332,606.1193845669126,-0.9440255224657412,577.25834479748,0.2612720427732543,medio
2025,MAY,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0384197513463356,15946,612.6413549686687,1.076020758916374,610.2188589929547,0.3138700683210941,medio
2025,JUN,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.038487190024185,14501,558.1027425407069,-8.902208769558328,592.2878273587627,-0.12596991148888198,bajo
2025,JUL,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0392325435101698,18804,737.7287481652338,32.18511430472415,636.1576152248698,1.3226679465350248,medio
2025,AGO,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0416746738057214,14221,592.6555361911641,-19.664844610552823,629.4956756323683,0.15268954435388404,medio
2025,SEP,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.040906022726696,19037,778.7279546481118,31.396385774573975,703.0374130015033,1.6533160754267051,alto
2025,OCT,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0404238391055329,17694,715.2594091333007,-8.150284722151913,695.5476333241922,1.1414584660187577,medio
2026,ENE,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0445285366232958,14509,646.0645378673993,-9.674094514848353,713.3506338829371,0.583419501959155,medio
2026,FEB,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0472378000787091,15875,749.9000762495081,16.072007097752273,703.7413410834027,1.4208265989194977,medio
2026,MAR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0477963643009303,16504,788.8311964225544,5.191507696299147,728.2652701798206,1.7347961399214853,alto
2026,ABR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0446498383689855,16092,718.505199033715,-8.915215030513036,752.4121572352592,1.1676349325753903,medio
2024,ENE,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.0636580558149185,8855,563.6920842411038,,563.6920842411038,-1.6070576639984477,bajo
2024,FEB,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.0611209304977478,9055,553.450025657107,-1.8169598031140821,558.5710549491054,-1.6304533558591214,bajo
2024,MAR,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.0708120756454025,9066,641.9822778012198,15.99643112112954,586.3747958998101,-1.4282212289963163,bajo
2024,ABR,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.0630457445785983,12642,797.0243029626398,24.150514823000524,664.1522021403222,-1.07406240278153,bajo
